ticker,name,sector,segment,market,exchange,reliability
0700.HK,Tencent Holdings,Technology,Hang Seng,Hong Kong,HKEX,medium
9988.HK,Alibaba Group,Consumer Discretionary,Hang Seng,Hong Kong,HKEX,medium
0941.HK,China Mobile,Communication,Hang Seng,Hong Kong,HKEX,medium
0005.HK,HSBC Holdings,Financials,Hang Seng,Hong Kong,HKEX,medium
3690.HK,Meituan,Consumer Discretionary,Hang Seng,Hong Kong,HKEX,medium
2318.HK,Ping An Insurance,Financials,Hang Seng,Hong Kong,HKEX,medium
1299.HK,AIA Group,Financials,Hang Seng,Hong Kong,HKEX,medium
0388.HK,Hong Kong Exchanges,Financials,Hang Seng,Hong Kong,HKEX,medium
9618.HK,JD.com HK,Consumer Discretionary,Hang Seng,Hong Kong,HKEX,medium
2269.HK,WuXi Biologics,Healthcare,Hang Seng,Hong Kong,HKEX,medium
0016.HK,Sun Hung Kai Properties,Real Estate,Hang Seng,Hong Kong,HKEX,medium
1177.HK,Sino Biopharmaceutical,Healthcare,Hang Seng,Hong Kong,HKEX,medium
0011.HK,Hang Seng Bank,Financials,Hang Seng,Hong Kong,HKEX,medium
2382.HK,Sunny Optical,Technology,Hang Seng,Hong Kong,HKEX,medium
0066.HK,MTR Corporation,Industrials,Hang Seng,Hong Kong,HKEX,medium
0003.HK,Hong Kong & China Gas,Utilities,Hang Seng,Hong Kong,HKEX,medium
0027.HK,Galaxy Entertainment,Consumer Discretionary,Hang Seng,Hong Kong,HKEX,medium
1093.HK,CSPC Pharmaceutical,Healthcare,Hang Seng,Hong Kong,HKEX,medium
0002.HK,CLP Holdings,Utilities,Hang Seng,Hong Kong,HKEX,medium
2628.HK,China Life Insurance,Financials,Hang Seng,Hong Kong,HKEX,medium
0101.HK,Hang Lung Properties,Real Estate,Hang Seng,Hong Kong,HKEX,medium
0688.HK,China Overseas Land,Real Estate,Hang Seng,Hong Kong,HKEX,medium
0012.HK,Henderson Land,Real Estate,Hang Seng,Hong Kong,HKEX,medium
1038.HK,CK Infrastructure,Utilities,Hang Seng,Hong Kong,HKEX,medium
0006.HK,Power Assets Holdings,Utilities,Hang Seng,Hong Kong,HKEX,medium
9999.HK,NetEase,Technology,Hang Seng,Hong Kong,HKEX,medium
1024.HK,Kuaishou Technology,Technology,Hang Seng,Hong Kong,HKEX,medium
6098.HK,Country Garden Services,Real Estate,Hang Seng,Hong Kong,HKEX,medium
0960.HK,Longfor Group,Real Estate,Hang Seng,Hong Kong,HKEX,medium
1810.HK,Xiaomi,Technology,Hang Seng,Hong Kong,HKEX,medium
