ticker,name,sector,segment,market,exchange,reliability
AAPL,Apple,Technology,S&P 500,North America,NASDAQ,high
MSFT,Microsoft,Technology,S&P 500,North America,NASDAQ,high
NVDA,NVIDIA,Technology,S&P 500,North America,NASDAQ,high
AMZN,Amazon,Consumer Discretionary,S&P 500,North America,NASDAQ,high
GOOGL,Alphabet,Communication Services,S&P 500,North America,NASDAQ,high
META,Meta Platforms,Communication Services,S&P 500,North America,NASDAQ,high
BRK-B,Berkshire Hathaway,Financials,S&P 500,North America,NYSE,high
LLY,Eli Lilly,Healthcare,S&P 500,North America,NYSE,high
AVGO,Broadcom,Technology,S&P 500,North America,NASDAQ,high
TSLA,Tesla,Consumer Discretionary,S&P 500,North America,NASDAQ,high
JPM,JPMorgan Chase,Financials,S&P 500,North America,NYSE,high
WMT,Walmart,Consumer Staples,S&P 500,North America,NYSE,high
V,Visa,Financials,S&P 500,North America,NYSE,high
XOM,ExxonMobil,Energy,S&P 500,North America,NYSE,high
MA,Mastercard,Financials,S&P 500,North America,NYSE,high
UNH,UnitedHealth,Healthcare,S&P 500,North America,NYSE,high
COST,Costco,Consumer Staples,S&P 500,North America,NASDAQ,high
HD,Home Depot,Consumer Discretionary,S&P 500,North America,NYSE,high
PG,Procter & Gamble,Consumer Staples,S&P 500,North America,NYSE,high
JNJ,Johnson & Johnson,Healthcare,S&P 500,North America,NYSE,high
ORCL,Oracle,Technology,S&P 500,North America,NYSE,high
BAC,Bank of America,Financials,S&P 500,North America,NYSE,high
ABBV,AbbVie,Healthcare,S&P 500,North America,NYSE,high
CRM,Salesforce,Technology,S&P 500,North America,NYSE,high
NFLX,Netflix,Communication Services,S&P 500,North America,NASDAQ,high
KO,Coca-Cola,Consumer Staples,S&P 500,North America,NYSE,high
CVX,Chevron,Energy,S&P 500,North America,NYSE,high
MRK,Merck,Healthcare,S&P 500,North America,NYSE,high
AMD,Advanced Micro Devices,Technology,S&P 500,North America,NASDAQ,high
TMO,Thermo Fisher Scientific,Healthcare,S&P 500,North America,NYSE,high
CSCO,Cisco,Technology,S&P 500,North America,NASDAQ,high
PEP,PepsiCo,Consumer Staples,S&P 500,North America,NASDAQ,high
WFC,Wells Fargo,Financials,S&P 500,North America,NYSE,high
ADBE,Adobe,Technology,S&P 500,North America,NASDAQ,high
ACN,Accenture,Technology,S&P 500,North America,NYSE,high
MCD,McDonald's,Consumer Discretionary,S&P 500,North America,NYSE,high
NOW,ServiceNow,Technology,S&P 500,North America,NYSE,high
IBM,IBM,Technology,S&P 500,North America,NYSE,high
GS,Goldman Sachs,Financials,S&P 500,North America,NYSE,high
CAT,Caterpillar,Industrials,S&P 500,North America,NYSE,high
ABT,Abbott Laboratories,Healthcare,S&P 500,North America,NYSE,high
TXN,Texas Instruments,Technology,S&P 500,North America,NASDAQ,high
PM,Philip Morris,Consumer Staples,S&P 500,North America,NYSE,high
AXP,American Express,Financials,S&P 500,North America,NYSE,high
GE,GE Aerospace,Industrials,S&P 500,North America,NYSE,high
ISRG,Intuitive Surgical,Healthcare,S&P 500,North America,NASDAQ,high
SPGI,S&P Global,Financials,S&P 500,North America,NYSE,high
BKNG,Booking Holdings,Consumer Discretionary,S&P 500,North America,NASDAQ,high
AMGN,Amgen,Healthcare,S&P 500,North America,NASDAQ,high
